"exchange","timestamp","ratio","longAccount","shortAccount","period"
"binance","2021-05-03T23:00:00.000Z",3.0453,0.7528,0.2472,1
"binance","2021-05-04T00:00:00.000Z",3.0584,0.7536,0.2464,1
"binance","2021-05-04T01:00:00.000Z",2.6219,0.7239,0.2761,1
"binance","2021-05-04T02:00:00.000Z",2.7622,0.7342,0.2658,1
"binance","2021-05-04T03:00:00.000Z",2.6443,0.7256,0.2744,1
"binance","2021-05-04T04:00:00.000Z",2.5638,0.7194,0.2806,1
"binance","2021-05-04T05:00:00.000Z",2.7383,0.7325,0.2675,1
"binance","2021-05-04T06:00:00.000Z",2.8241,0.7385,0.2615,1
"binance","2021-05-04T07:00:00.000Z",2.8197,0.7382,0.2618,1
"binance","2021-05-04T08:00:00.000Z",2.7736,0.735,0.265,1
"binance","2021-05-04T09:00:00.000Z",2.5997,0.7222,0.2778,1
"binance","2021-05-04T10:00:00.000Z",2.6617,0.7269,0.2731,1
"binance","2021-05-04T11:00:00.000Z",2.8197,0.7382,0.2618,1
"binance","2021-05-04T12:00:00.000Z",2.8314,0.739,0.261,1
"binance","2021-05-04T13:00:00.000Z",2.8168,0.738,0.262,1
"binance","2021-05-04T14:00:00.000Z",2.8212,0.7383,0.2617,1
"binance","2021-05-04T15:00:00.000Z",2.7439,0.7329,0.2671,1
"binance","2021-05-04T16:00:00.000Z",2.6996,0.7297,0.2703,1
"binance","2021-05-04T17:00:00.000Z",2.7023,0.7299,0.2701,1
"binance","2021-05-04T18:00:00.000Z",3.0177,0.7511,0.2489,1
"binance","2021-05-04T19:00:00.000Z",3.1649,0.7599,0.2401,1
"binance","2021-05-04T20:00:00.000Z",3.1374,0.7583,0.2417,1
"binance","2021-05-04T21:00:00.000Z",3.042,0.7526,0.2474,1
