"type","timestamp","open","high","low","close","volume"
"gdax","2020-05-02T00:00:00.000Z",8976.18,8992,8963.18,8985.58,210.76500107
"gdax","2020-05-03T00:00:00.000Z",8984.69,9203.52,8731.01,8909.95,17147.65372312
"gdax","2020-05-04T00:00:00.000Z",8907.85,8970,8533.98,8883.53,18380.62654424
"gdax","2020-05-05T00:00:00.000Z",8887.81,9126.27,8769.69,9028.79,16392.29936609
"gdax","2020-05-06T00:00:00.000Z",9028.78,9418,8922.13,9155.79,27650.87868274
"gdax","2020-05-07T00:00:00.000Z",9155.79,10079,9028.89,10004.77,39447.57511824
"gdax","2020-05-08T00:00:00.000Z",10000.37,10049,9730,9810,26363.71688893
"gdax","2020-05-09T00:00:00.000Z",9810.01,9920.73,9521,9537.21,17931.1748552
"gdax","2020-05-10T00:00:00.000Z",9537.21,9559.98,8106.7,8729.86,50909.84429757
"gdax","2020-05-11T00:00:00.000Z",8729.86,9182.66,8185,8572.4,39999.37731433
"gdax","2020-05-12T00:00:00.000Z",8572.4,8982.9,8534.85,8821.42,20219.23699186
"gdax","2020-05-13T00:00:00.000Z",8821.41,9420.18,8803.97,9321.26,21357.63022841
"gdax","2020-05-14T00:00:00.000Z",9320.85,9943.93,9257.15,9795.34,28752.36041568
"gdax","2020-05-15T00:00:00.000Z",9795.34,9849,9120,9312.1,25180.97967322
"gdax","2020-05-16T00:00:00.000Z",9312.1,9594.99,9215.01,9383.16,10782.32773503
"gdax","2020-05-17T00:00:00.000Z",9380.01,9896,9325.81,9676.63,13540.66294076
"gdax","2020-05-18T00:00:00.000Z",9677.45,9957.25,9436.97,9728.52,17710.29958398
"gdax","2020-05-19T00:00:00.000Z",9728.52,9898,9463.22,9783.76,15229.62610784
"gdax","2020-05-20T00:00:00.000Z",9783.57,9836.99,9294.54,9509.41,16895.54925055
"gdax","2020-05-21T00:00:00.000Z",9509.4,9568,8800,9061.96,28081.22890941
"gdax","2020-05-22T00:00:00.000Z",9059.32,9267.34,8923.5,9168.84,13731.91887098
"gdax","2020-05-23T00:00:00.000Z",9168.84,9313.83,9090.11,9181.76,6878.84791748
"gdax","2020-05-24T00:00:00.000Z",9181.09,9306.23,8680.7,8715.73,13004.34567862
"gdax","2020-05-25T00:00:00.000Z",8715.69,8977,8632.93,8899.31,12328.24203695
"gdax","2020-05-26T00:00:00.000Z",8900,9016.99,8694.23,8844.42,11507.43097855
"gdax","2020-05-27T00:00:00.000Z",8844.41,9230,8811.46,9208.53,10936.67835282
"gdax","2020-05-28T00:00:00.000Z",9208.53,9625,9112,9580.19,14511.07649252
"gdax","2020-05-29T00:00:00.000Z",9580.01,9609.02,9330.01,9423.84,10415.42644355
"gdax","2020-05-30T00:00:00.000Z",9423.85,9764,9326.43,9700.33,10509.69814742
"gdax","2020-05-31T00:00:00.000Z",9700.32,9705.6,9369.58,9446.57,7944.71669301
"gdax","2020-06-01T00:00:00.000Z",9445.83,10428,9417.42,10208.96,21676.60828748
"gdax","2020-06-02T00:00:00.000Z",10208.96,10237.6,9270,9522.46,33220.58268645
"gdax","2020-06-03T00:00:00.000Z",9521.53,9695,9385.22,9668.07,11446.72193696
"gdax","2020-06-04T00:00:00.000Z",9668.06,9888,9450,9788.03,12441.27298837
"gdax","2020-06-05T00:00:00.000Z",9791.96,9855,9585.44,9613.21,12495.89785858
"gdax","2020-06-06T00:00:00.000Z",9613.42,9735.13,9526.03,9671.7,6501.31731671
"gdax","2020-06-07T00:00:00.000Z",9670.28,9822,9370,9750.12,11628.94527829
"gdax","2020-06-08T00:00:00.000Z",9750.12,9815,9632.79,9781.51,8533.83614916
"gdax","2020-06-09T00:00:00.000Z",9781.51,9886,9567.33,9779.41,10329.87714811
"gdax","2020-06-10T00:00:00.000Z",9779.7,10018.67,9690,9894.04,12965.42597405
"gdax","2020-06-11T00:00:00.000Z",9894.35,9973.25,9050,9268.16,26779.8793933
"gdax","2020-06-12T00:00:00.000Z",9268.16,9552.87,9227,9464.17,10992.51647836
"gdax","2020-06-13T00:00:00.000Z",9464.71,9494.45,9346,9475,4581.79206303
"gdax","2020-06-14T00:00:00.000Z",9475,9481,9240,9325,4829.79726322
"gdax","2020-06-15T00:00:00.000Z",9328.63,9499,8895.01,9432.53,18589.28586581
"gdax","2020-06-16T00:00:00.000Z",9432.57,9592.04,9381,9526.25,10345.29526997
"gdax","2020-06-17T00:00:00.000Z",9526.25,9558.48,9227.03,9457.51,8937.92623229
"gdax","2020-06-18T00:00:00.000Z",9457.51,9482.66,9267.18,9376.14,6300.5664912
"gdax","2020-06-19T00:00:00.000Z",9376.14,9430,9229,9301.91,7871.9637482
"gdax","2020-06-20T00:00:00.000Z",9300.42,9391.71,9161,9355.74,6900.60934146
"gdax","2020-06-21T00:00:00.000Z",9355.74,9419.35,9273,9286.14,3088.66849893
"gdax","2020-06-22T00:00:00.000Z",9286.14,9792,9267.58,9690.74,11775.73858785
"gdax","2020-06-23T00:00:00.000Z",9690.67,9724.53,9572.22,9623.56,7946.97355694
"gdax","2020-06-24T00:00:00.000Z",9623.56,9663.38,9195,9285.91,13410.75869027
"gdax","2020-06-25T00:00:00.000Z",9285.94,9335,8979.07,9243.51,13529.05626726
"gdax","2020-06-26T00:00:00.000Z",9242.98,9291.73,9027.62,9155.42,10702.37319002
"gdax","2020-06-27T00:00:00.000Z",9155.42,9188.14,8815.01,9002.46,8507.26840968
"gdax","2020-06-28T00:00:00.000Z",9002.38,9189,8931.77,9113.24,5537.7575057
"gdax","2020-06-29T00:00:00.000Z",9113.23,9236.75,9014,9184.45,8658.42672493
"gdax","2020-06-30T00:00:00.000Z",9188.79,9201,9059.6,9136.2,6820.86740899
"gdax","2020-07-01T00:00:00.000Z",9135.91,9297.2,9088,9239.97,7550.15999655
"gdax","2020-07-02T00:00:00.000Z",9239.41,9265,8938,9091.53,10774.18558946
"gdax","2020-07-03T00:00:00.000Z",9091.98,9126.12,9036.74,9063.87,7738.46972112
"gdax","2020-07-04T00:00:00.000Z",9059.73,9195.84,9039.84,9138.51,5300.78823324
"gdax","2020-07-05T00:00:00.000Z",9138.51,9145,8905.84,9074.39,4601.32645918
"gdax","2020-07-06T00:00:00.000Z",9074.37,9375.9,9061.59,9343.31,9959.28200198
"gdax","2020-07-07T00:00:00.000Z",9343.31,9379.34,9201.57,9253.94,6326.83865418
"gdax","2020-07-08T00:00:00.000Z",9253.94,9475,9232.2,9435.28,10135.31536748
"gdax","2020-07-09T00:00:00.000Z",9435.28,9446.62,9154.79,9236.95,8450.13071404
"gdax","2020-07-10T00:00:00.000Z",9236.95,9322.23,9118,9291.05,6892.47061091
"gdax","2020-07-11T00:00:00.000Z",9291.04,9303.04,9182.35,9235,3369.21728725
"gdax","2020-07-12T00:00:00.000Z",9235,9347.53,9159.33,9303.37,5419.21357745
"gdax","2020-07-13T00:00:00.000Z",9303.38,9339.61,9193.52,9236.92,8698.43618823
"gdax","2020-07-14T00:00:00.000Z",9236.91,9280,9100,9256.94,7497.56309216
"gdax","2020-07-15T00:00:00.000Z",9256.94,9273.98,9154.01,9190.16,7196.32866271
"gdax","2020-07-16T00:00:00.000Z",9190.8,9216.02,9005,9130.11,8765.69858912
"gdax","2020-07-17T00:00:00.000Z",9130.93,9182.99,9054.99,9154.29,6423.74716202
"gdax","2020-07-18T00:00:00.000Z",9154.29,9210,9122.65,9175.85,4121.62697417
"gdax","2020-07-19T00:00:00.000Z",9175.83,9245.03,9105.37,9212.87,3520.07247613
"gdax","2020-07-20T00:00:00.000Z",9214.01,9223.51,9131,9161.05,5815.33084221
"gdax","2020-07-21T00:00:00.000Z",9161.05,9438,9157.04,9394.14,9603.9151125
"gdax","2020-07-22T00:00:00.000Z",9394.14,9567.77,9277,9536.18,10362.35264843
"gdax","2020-07-23T00:00:00.000Z",9536.2,9686,9450.04,9613.24,12992.9719195
"gdax","2020-07-24T00:00:00.000Z",9613.24,9645.55,9475.7,9551.21,9798.89346586
"gdax","2020-07-25T00:00:00.000Z",9551.21,9747.76,9536.64,9711.33,6973.11089437
"gdax","2020-07-26T00:00:00.000Z",9711.79,10150,9661.35,9941,11615.0460936
"gdax","2020-07-27T00:00:00.000Z",9941,11420,9935,11048.91,41850.57309953
"gdax","2020-07-28T00:00:00.000Z",11048.05,11259,10575,10934.23,26011.37513947
"gdax","2020-07-29T00:00:00.000Z",10934.22,11350,10843.47,11110.12,18556.27794282
"gdax","2020-07-30T00:00:00.000Z",11108.16,11188.65,10811,11115.95,12408.70410754
"gdax","2020-07-31T00:00:00.000Z",11115.99,11460,10975,11351.62,15747.02174952
"gdax","2020-08-01T00:00:00.000Z",11351.61,11888,11237.82,11810.07,18293.12524307
"gdax","2020-08-02T00:00:00.000Z",11810.07,12134.29,10546.15,11068.54,28118.42911355
"gdax","2020-08-03T00:00:00.000Z",11067.46,11486.6,10911.74,11233.13,13783.34037417
"gdax","2020-08-04T00:00:00.000Z",11233.16,11417.11,11006.16,11197.04,12074.47851394
"gdax","2020-08-05T00:00:00.000Z",11197.05,11798.87,11073.7,11756.75,16637.77222796
"gdax","2020-08-06T00:00:00.000Z",11756.75,11916.68,11580.19,11773.89,18053.08146864
"gdax","2020-08-07T00:00:00.000Z",11773.89,11920,11350,11606.52,23761.51075422
"gdax","2020-08-08T00:00:00.000Z",11606.52,11818.18,11529.45,11774.98,7315.88456116
"gdax","2020-08-09T00:00:00.000Z",11773.24,11810.24,11532.04,11688.48,7595.84119449
"gdax","2020-08-10T00:00:00.000Z",11688.25,12086.22,11470.01,11899.73,22152.58893673
"gdax","2020-08-11T00:00:00.000Z",11899.87,11943,11120,11388.53,20706.60991744
"gdax","2020-08-12T00:00:00.000Z",11388.88,11625,11148.54,11566.45,12809.98917913
"gdax","2020-08-13T00:00:00.000Z",11566.44,11802.09,11274.14,11795.95,15369.40392513
"gdax","2020-08-14T00:00:00.000Z",11795.95,11865.97,11651.24,11779,13797.82000137
"gdax","2020-08-15T00:00:00.000Z",11777.5,11989.98,11688,11859.24,12567.03859346
"gdax","2020-08-16T00:00:00.000Z",11860.02,11940,11686.53,11918.84,8911.25397878
"gdax","2020-08-17T00:00:00.000Z",11918.84,12486.61,11775,12304.26,23814.66050181
"gdax","2020-08-18T00:00:00.000Z",12303.98,12400,11825,11950,18628.91287504
"gdax","2020-08-19T00:00:00.000Z",11954.22,12024.83,11569,11758.87,16646.31489492
"gdax","2020-08-20T00:00:00.000Z",11758.87,11892.16,11671.48,11864.26,8801.17750309
"gdax","2020-08-21T00:00:00.000Z",11864.26,11884.99,11480,11529.22,14865.37875873
"gdax","2020-08-22T00:00:00.000Z",11529.99,11693.16,11370,11672.93,7946.02465327
"gdax","2020-08-23T00:00:00.000Z",11672.92,11715,11525.62,11650.01,5516.17048181
"gdax","2020-08-24T00:00:00.000Z",11650.01,11823.62,11592.91,11753.85,7253.01922609
"gdax","2020-08-25T00:00:00.000Z",11753.26,11769.76,11102.73,11324.92,14348.63533296
"gdax","2020-08-26T00:00:00.000Z",11324.92,11539.99,11254.89,11463.27,9124.5541845
"gdax","2020-08-27T00:00:00.000Z",11463.27,11597.92,11125,11330.06,13517.38777028
"gdax","2020-08-28T00:00:00.000Z",11330.56,11550.51,11282.09,11535,10373.89590327
"gdax","2020-08-29T00:00:00.000Z",11535,11580,11422.21,11474.31,5417.54146196
"gdax","2020-08-30T00:00:00.000Z",11474.3,11720,11463.87,11716.01,5594.22582376
"gdax","2020-08-31T00:00:00.000Z",11716,11784.66,11576,11655,9123.59353747
"gdax","2020-09-01T00:00:00.000Z",11655,12086,11525.09,11924.22,16057.64432384
"gdax","2020-09-02T00:00:00.000Z",11924.22,11950,11160,11395.48,19721.44316904
"gdax","2020-09-03T00:00:00.000Z",11395.49,11474.99,10005,10172.52,30364.24398441
"gdax","2020-09-04T00:00:00.000Z",10172.13,10638.34,9895.22,10500.05,23366.4624656
"gdax","2020-09-05T00:00:00.000Z",10500.05,10564.8,9813,10168.36,22450.75807716
"gdax","2020-09-06T00:00:00.000Z",10169.58,10358.88,10000,10257.86,9516.19303239
"gdax","2020-09-07T00:00:00.000Z",10258.67,10410.9,9880,10375,11996.92866276
"gdax","2020-09-08T00:00:00.000Z",10375,10440.91,9819.83,10125.69,15768.28451954
"gdax","2020-09-09T00:00:00.000Z",10126.41,10349.99,9983.34,10224.56,9645.50040063
"gdax","2020-09-10T00:00:00.000Z",10224.56,10489,10216.41,10343.23,11237.01908035
"gdax","2020-09-11T00:00:00.000Z",10344.24,10411.44,10200,10394.41,7200.29156246
"gdax","2020-09-12T00:00:00.000Z",10394.41,10483.23,10276.19,10446.52,6495.30033616
"gdax","2020-09-13T00:00:00.000Z",10446.52,10582.36,10211,10336.76,10442.19360563
"gdax","2020-09-14T00:00:00.000Z",10336.76,10760.62,10253,10679.95,13532.94711651
"gdax","2020-09-15T00:00:00.000Z",10678.41,10950,10613.18,10783.75,12634.3292873
"gdax","2020-09-16T00:00:00.000Z",10783.36,11099.95,10662.02,10959.61,11003.70130082
"gdax","2020-09-17T00:00:00.000Z",10957.06,11044,10735.55,10943.61,8885.4490645
"gdax","2020-09-18T00:00:00.000Z",10943.99,11039.88,10813,10937.52,8660.059472
"gdax","2020-09-19T00:00:00.000Z",10937.5,11179.9,10891.78,11080,5718.02211829
"gdax","2020-09-20T00:00:00.000Z",11081.09,11081.37,10759.37,10920.89,6003.78509052
"gdax","2020-09-21T00:00:00.000Z",10920.94,10994,10180,10416.82,15004.71121349
"gdax","2020-09-22T00:00:00.000Z",10416.83,10576.82,10355,10531.13,7904.25642443
"gdax","2020-09-23T00:00:00.000Z",10531.13,10541.25,10135.22,10235.1,8893.24233647
"gdax","2020-09-24T00:00:00.000Z",10237.41,10795.87,10192.56,10740.01,9678.39349807
"gdax","2020-09-25T00:00:00.000Z",10740,10765.07,10551,10690.53,9690.62760986
"gdax","2020-09-26T00:00:00.000Z",10690.53,10828,10654.58,10730,3783.39739972
"gdax","2020-09-27T00:00:00.000Z",10730,10806.32,10595.24,10778.2,3880.03686062
"gdax","2020-09-28T00:00:00.000Z",10779,10956.11,10621.22,10695.55,8876.06156838
"gdax","2020-09-29T00:00:00.000Z",10694.9,10860.79,10636.13,10840.73,8200.78265336
"gdax","2020-09-30T00:00:00.000Z",10839.98,10847,10657.04,10779.63,6318.52943807
"gdax","2020-10-01T00:00:00.000Z",10779.63,10931.98,10427.75,10617.63,12848.71825819
"gdax","2020-10-02T00:00:00.000Z",10616.35,10668.56,10363.76,10573.12,10263.48290265
"gdax","2020-10-03T00:00:00.000Z",10573.12,10606.36,10498.02,10551.65,3211.70459291
"gdax","2020-10-04T00:00:00.000Z",10550.32,10697,10521.87,10671.11,3569.25620166
"gdax","2020-10-05T00:00:00.000Z",10670.01,10800,10621.12,10795,6081.38701926
"gdax","2020-10-06T00:00:00.000Z",10796.97,10800,10524,10602.66,7596.36372031
"gdax","2020-10-07T00:00:00.000Z",10601.2,10683.75,10546.78,10670.47,6108.04255109
"gdax","2020-10-08T00:00:00.000Z",10670.47,10963.16,10532.11,10933.09,11301.25106194
"gdax","2020-10-09T00:00:00.000Z",10932.44,11111.11,10834.49,11057.07,10098.3991552
"gdax","2020-10-10T00:00:00.000Z",11057.07,11498.98,11055.75,11299.5,9312.75916488
"gdax","2020-10-11T00:00:00.000Z",11299.52,11444.25,11276.28,11374.01,5163.46475688
"gdax","2020-10-12T00:00:00.000Z",11374.01,11736.02,11187.6,11535.46,11056.91558046
"gdax","2020-10-13T00:00:00.000Z",11535.46,11561.45,11312.59,11428.22,8639.21277154
"gdax","2020-10-14T00:00:00.000Z",11428.22,11556.37,11290.83,11427.7,7078.70152873
"gdax","2020-10-15T00:00:00.000Z",11427.7,11641.38,11263.15,11509.34,8538.51456237
"gdax","2020-10-16T00:00:00.000Z",11509.31,11550.01,11201,11328.95,9505.26615373
"gdax","2020-10-17T00:00:00.000Z",11328.27,11421,11264.75,11367.89,3586.1455215
"gdax","2020-10-18T00:00:00.000Z",11367.9,11523,11350.37,11514.2,4352.09499051
"gdax","2020-10-19T00:00:00.000Z",11514.2,11833,11416.04,11760.45,10313.23447344
"gdax","2020-10-20T00:00:00.000Z",11760.45,12050,11685,11923.83,13840.02481291
"gdax","2020-10-21T00:00:00.000Z",11923.07,13250.04,11900.01,12808,32404.63293167
"gdax","2020-10-22T00:00:00.000Z",12808.01,13200,12698.02,12987.02,20337.74466561
"gdax","2020-10-23T00:00:00.000Z",12988.2,13037,12722.72,12937.09,10450.87207186
"gdax","2020-10-24T00:00:00.000Z",12938,13175,12884.31,13126.24,7915.34663475
"gdax","2020-10-25T00:00:00.000Z",13126.34,13361,12890.76,13045,9276.17719938
"gdax","2020-10-26T00:00:00.000Z",13045.02,13250,12785,13068.79,12275.35826032
"gdax","2020-10-27T00:00:00.000Z",13068.79,13793.72,13061.28,13698.18,17267.43967837
"gdax","2020-10-28T00:00:00.000Z",13740.85,13863.87,12891.57,13281.05,21073.3766776
"gdax","2020-10-29T00:00:00.000Z",13281.06,13650,12976.29,13460,15796.07667651
"gdax","2020-10-30T00:00:00.000Z",13460,13687.82,13131.31,13571.51,15664.29047538
"gdax","2020-10-31T00:00:00.000Z",13571.51,14098.92,13424.73,13804.81,12166.30429818
"gdax","2020-11-01T00:00:00.000Z",13803.69,13906.74,13630.05,13771.59,6252.00619492
"gdax","2020-11-02T00:00:00.000Z",13771.7,13840,13215,13563.22,12191.83070954
"gdax","2020-11-03T00:00:00.000Z",13563.22,14081.45,13290,14035.8,13965.78812958
"gdax","2020-11-04T00:00:00.000Z",14034.35,14273.6,13530.01,14161.48,16894.77786852
"gdax","2020-11-05T00:00:00.000Z",14165.86,15775,14115,15608.21,31865.97472203
"gdax","2020-11-06T00:00:00.000Z",15608.06,15977.67,15190.36,15599.95,25150.39252742
"gdax","2020-11-07T00:00:00.000Z",15599.95,15779.24,14310,14834.09,23552.06912628
"gdax","2020-11-08T00:00:00.000Z",14834.09,15666,14721.9,15482.9,11856.3281802
"gdax","2020-11-09T00:00:00.000Z",15482.89,15856.9,14817.14,15342.25,21951.27612698
"gdax","2020-11-10T00:00:00.000Z",15342.1,15481.06,15090.08,15315.03,13489.67510052
"gdax","2020-11-11T00:00:00.000Z",15315.46,16000,15293.04,15705.79,15257.35474092
"gdax","2020-11-12T00:00:00.000Z",15705.79,16370.89,15446.82,16310.81,22153.73849401
"gdax","2020-11-13T00:00:00.000Z",16310.81,16491.92,15975,16339.56,14593.51518544
"gdax","2020-11-14T00:00:00.000Z",16339.56,16339.6,15708.24,16082.01,9205.916488
"gdax","2020-11-15T00:00:00.000Z",16082.01,16175.6,15796.09,15966.89,6250.07966791
"gdax","2020-11-16T00:00:00.000Z",15970,16892,15879,16726.64,13948.30524238
"gdax","2020-11-17T00:00:00.000Z",16726.49,17880,16575.42,17679.36,25230.22403641
"gdax","2020-11-18T00:00:00.000Z",17679.86,18488,17205.02,17782.91,32425.98660226
"gdax","2020-11-19T00:00:00.000Z",17790.18,18193.29,17356,17821.58,17141.49267548
"gdax","2020-11-20T00:00:00.000Z",17821.92,18830.3,17764.76,18675.25,17901.931678
"gdax","2020-11-21T00:00:00.000Z",18677.84,18980,18350,18721.21,13604.27139959
"gdax","2020-11-22T00:00:00.000Z",18721.21,18773.56,17610.77,18437.66,15423.83816127
"gdax","2020-11-23T00:00:00.000Z",18437.18,18777.77,18001,18384.82,17655.66362172
"gdax","2020-11-24T00:00:00.000Z",18384.82,19469,18052.02,19172.84,26623.08116888
"gdax","2020-11-25T00:00:00.000Z",19172.9,19500,18502,18721.93,20485.39373121
"gdax","2020-11-26T00:00:00.000Z",18717.24,18915.48,16200,17170,48644.14479718
"gdax","2020-11-27T00:00:00.000Z",17169.99,17475,16400,17153.95,23333.98429789
"gdax","2020-11-28T00:00:00.000Z",17155.43,17933.25,16880,17739.85,13157.9519653
"gdax","2020-11-29T00:00:00.000Z",17736.1,18359,17535.26,18202.04,8932.25029132
"gdax","2020-11-30T00:00:00.000Z",18202.02,19873.23,18201.47,19713.94,27293.4791942
"gdax","2020-12-01T00:00:00.000Z",19713.94,19915.14,18109,18782.97,30442.86543674
"gdax","2020-12-02T00:00:00.000Z",18778.18,19340,18335,19225.63,16227.13637423
"gdax","2020-12-03T00:00:00.000Z",19222.45,19625.64,18885,19448.64,14648.23683367
"gdax","2020-12-04T00:00:00.000Z",19446.43,19546.46,18576.05,18658.1,16382.87739223
"gdax","2020-12-05T00:00:00.000Z",18658.09,19189.98,18501,19158.96,7082.22230272
"gdax","2020-12-06T00:00:00.000Z",19158.96,19430.25,18878,19375.6,6665.28189472
