"type","timestamp","bid","ask","mid","last"
"bitfinex","2021-05-04T15:22:00.000Z",53834,53835,53834.5,53835
"bitfinex","2021-05-04T15:23:00.000Z",53671,53700,53685.5,53704
"bitfinex","2021-05-04T15:24:00.000Z",53762,53763,53762.5,53762
"bitfinex","2021-05-04T15:25:00.000Z",53911,53918,53914.5,53910
"bitfinex","2021-05-04T15:26:00.000Z",53976,53989,53982.5,53989
"bitfinex","2021-05-04T15:27:00.000Z",54066,54068,54067,54067
"bitfinex","2021-05-04T15:28:00.000Z",54173,54184,54178.5,54183
"bitfinex","2021-05-04T15:29:00.000Z",54215,54232,54223.5,54224
"bitfinex","2021-05-04T15:30:00.000Z",54240,54242,54241,54242
"bitfinex","2021-05-04T15:31:00.000Z",54321,54322,54321.5,54322
"bitfinex","2021-05-04T15:32:00.000Z",54388,54398,54393,54405
"bitfinex","2021-05-04T15:33:00.000Z",54432,54450,54441,54450
"bitfinex","2021-05-04T15:34:00.000Z",54356,54362,54359,54341
"bitfinex","2021-05-04T15:35:00.000Z",54388,54389,54388.5,54388
"bitfinex","2021-05-04T15:36:00.000Z",54469,54474,54471.5,54472
"bitfinex","2021-05-04T15:37:00.000Z",54430,54446,54438,54440
"bitfinex","2021-05-04T15:38:00.000Z",54394,54395,54394.5,54386
"bitfinex","2021-05-04T15:39:00.000Z",54358,54361,54359.5,54351
"bitfinex","2021-05-04T15:40:00.000Z",54300,54301,54300.5,54279
"bitfinex","2021-05-04T15:41:00.000Z",54333,54334,54333.5,54320
"bitfinex","2021-05-04T15:42:00.000Z",54214,54231,54222.5,54224
"bitfinex","2021-05-04T15:43:00.000Z",54305,54317,54311,54303
"bitfinex","2021-05-04T15:44:00.000Z",54413,54415,54414,54413
"bitfinex","2021-05-04T15:45:00.000Z",54445,54455,54450,54450
"bitfinex","2021-05-04T15:46:00.000Z",54373,54380,54376.5,54373
"bitfinex","2021-05-04T15:47:00.000Z",54447,54460,54453.5,54454
"bitfinex","2021-05-04T15:48:00.000Z",54430,54431,54430.5,54432
"bitfinex","2021-05-04T15:49:00.000Z",54433,54446,54439.5,54433
"bitfinex","2021-05-04T15:50:00.000Z",54463,54466,54464.5,54470
"bitfinex","2021-05-04T15:51:00.000Z",54444,54450,54447,54459
"bitfinex","2021-05-04T15:52:00.000Z",54339,54340,54339.5,54346
"bitfinex","2021-05-04T15:53:00.000Z",54339,54345,54342,54351
"bitfinex","2021-05-04T15:54:00.000Z",54324,54328,54326,54327.18633984
"bitfinex","2021-05-04T15:55:00.000Z",54184,54186,54185,54184
"bitfinex","2021-05-04T15:56:00.000Z",54161,54172,54166.5,54160
"bitfinex","2021-05-04T15:57:00.000Z",54069,54076,54072.5,54061.825392
"bitfinex","2021-05-04T15:58:00.000Z",53929,53930,53929.5,53879
"bitfinex","2021-05-04T15:59:00.000Z",53971,53972,53971.5,53979
"bitfinex","2021-05-04T16:00:00.000Z",53810,53819,53814.5,53811
"bitfinex","2021-05-04T16:01:00.000Z",53812,53815,53813.5,53812
"bitfinex","2021-05-04T16:02:00.000Z",53565,53566,53565.5,53565
"bitfinex","2021-05-04T16:03:00.000Z",53724,53734,53729,53741
"bitfinex","2021-05-04T16:04:00.000Z",53900,53905,53902.5,53905
"bitfinex","2021-05-04T16:05:00.000Z",54020,54025,54022.5,54006
"bitfinex","2021-05-04T16:06:00.000Z",53957,53960,53958.5,53962
"bitfinex","2021-05-04T16:07:00.000Z",54038,54039,54038.5,54038
"bitfinex","2021-05-04T16:08:00.000Z",54128,54129,54128.5,54128
"bitfinex","2021-05-04T16:09:00.000Z",54141,54142,54141.5,54141
"bitfinex","2021-05-04T16:10:00.000Z",54064,54070,54067,54070.978104
"bitfinex","2021-05-04T16:11:00.000Z",54111,54112,54111.5,54124.4233462
"bitfinex","2021-05-04T16:12:00.000Z",54252,54253,54252.5,54268.7625438
"bitfinex","2021-05-04T16:13:00.000Z",54272,54279,54275.5,54278.65791525
"bitfinex","2021-05-04T16:14:00.000Z",54193,54194,54193.5,54211
